Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
1.12	0.000725352	-2.49144e-05	0.000725952
1.13	0.000733168	-2.38441e-05	0.000733706
1.14	0.000740824	-2.29298e-05	0.00074131
1.15	0.000748351	-2.21415e-05	0.00074879
1.16	0.000755773	-2.14565e-05	0.000756171
1.17	0.000763107	-2.08572e-05	0.000763468
1.18	0.000770368	-2.03298e-05	0.000770696
1.19	0.000777566	-1.98633e-05	0.000777864
1.2	0.000784712	-1.9449e-05	0.000784982
1.21	0.000791812	-1.90795e-05	0.000792057
1.22	0.000798872	-1.87489e-05	0.000799095
1.23	0.000805898	-1.84522e-05	0.000806099
1.24	0.000812894	-1.81854e-05	0.000813075
1.25	0.000819863	-1.7945e-05	0.000820026
1.26	0.000826809	-1.77279e-05	0.000826954
1.27	0.000833733	-1.75317e-05	0.000833862
1.28	0.000840639	-1.73541e-05	0.000840753
1.29	0.000847528	-1.71933e-05	0.000847628
1.3	0.000854402	-1.70476e-05	0.000854488
1.31	0.000861263	-1.69157e-05	0.000861336
1.32	0.000868111	-1.67961e-05	0.000868171
1.33	0.000874947	-1.66879e-05	0.000874997
1.34	0.000881774	-1.65901e-05	0.000881812
1.35	0.000888592	-1.65017e-05	0.000888619
1.36	0.000895401	-1.6422e-05	0.000895418
1.37	0.000902202	-1.63504e-05	0.000902209
1.38	0.000908996	-1.62861e-05	0.000908994
1.39	0.000915783	-1.62286e-05	0.000915772
1.4	0.000922565	-1.61775e-05	0.000922545
1.41	0.000929341	-1.61322e-05	0.000929312
1.42	0.000936112	-1.60924e-05	0.000936075
1.43	0.000942878	-1.60577e-05	0.000942833
1.44	0.00094964	-1.60277e-05	0.000949587
1.45	0.000956397	-1.60022e-05	0.000956337
1.46	0.000963151	-1.59808e-05	0.000963084
1.47	0.000969902	-1.59632e-05	0.000969827
1.48	0.000976649	-1.59493e-05	0.000976567
1.49	0.000983393	-1.59389e-05	0.000983305
1.5	0.000990134	-1.59316e-05	0.00099004
1.51	0.000996873	-1.59274e-05	0.000996772
1.52	0.00100361	-1.59261e-05	0.0010035
1.53	0.00101034	-1.59274e-05	0.00101023
1.54	0.00101708	-1.59313e-05	0.00101696
1.55	0.00102381	-1.59376e-05	0.00102368
1.56	0.00103053	-1.59463e-05	0.0010304
1.57	0.00103726	-1.5957e-05	0.00103712
1.58	0.00104398	-1.59698e-05	0.00104384
1.59	0.00105071	-1.59846e-05	0.00105056
1.6	0.00105743	-1.60012e-05	0.00105728
1.61	0.00106415	-1.60196e-05	0.00106399
1.62	0.00107087	-1.60397e-05	0.00107071
1.63	0.00107759	-1.60614e-05	0.00107742
1.64	0.00108431	-1.60846e-05	0.00108413
1.65	0.00109102	-1.61092e-05	0.00109085
1.66	0.00109774	-1.61353e-05	0.00109756
1.67	0.00110445	-1.61627e-05	0.00110427
1.68	0.00111117	-1.61913e-05	0.00111098
1.69	0.00111788	-1.62211e-05	0.00111768
1.7	0.0011246	-1.62522e-05	0.00112439
1.71	0.00113131	-1.62843e-05	0.0011311
1.72	0.00113802	-1.63175e-05	0.00113781
1.73	0.00114473	-1.63517e-05	0.00114452
1.74	0.00115144	-1.63869e-05	0.00115122
1.75	0.00115815	-1.6423e-05	0.00115793
1.76	0.00116486	-1.64601e-05	0.00116463
1.77	0.00117157	-1.6498e-05	0.00117134
1.78	0.00117828	-1.65367e-05	0.00117805
1.79	0.00118499	-1.65763e-05	0.00118475
1.8	0.0011917	-1.66166e-05	0.00119146
1.81	0.00119841	-1.66577e-05	0.00119816
1.82	0.00120512	-1.66995e-05	0.00120487
1.83	0.00121183	-1.67419e-05	0.00121157
1.84	0.00121854	-1.67851e-05	0.00121828
1.85	0.00122525	-1.68289e-05	0.00122498
1.86	0.00123195	-1.68733e-05	0.00123169
1.87	0.00123866	-1.69183e-05	0.00123839
1.88	0.00124537	-1.69638e-05	0.0012451
1.89	0.00125208	-1.701e-05	0.0012518
1.9	0.00125879	-1.70566e-05	0.00125851
1.91	0.0012655	-1.71038e-05	0.00126521
1.92	0.00127221	-1.71515e-05	0.00127192
1.93	0.00127892	-1.71997e-05	0.00127862
1.94	0.00128563	-1.72483e-05	0.00128533
1.95	0.00129234	-1.72974e-05	0.00129204
1.96	0.00129905	-1.73469e-05	0.00129874
1.97	0.00130576	-1.73969e-05	0.00130545
1.98	0.00131247	-1.74472e-05	0.00131216
1.99	0.00131918	-1.7498e-05	0.00131886
2	0.00132589	-1.75492e-05	0.00132557
2.01	0.0013326	-1.76007e-05	0.00133228
2.02	0.00133932	-1.76526e-05	0.00133899
2.03	0.00134603	-1.77048e-05	0.00134569
2.04	0.00135274	-1.77574e-05	0.0013524
2.05	0.00135945	-1.78103e-05	0.00135911
2.06	0.00136617	-1.78635e-05	0.00136582
2.07	0.00137288	-1.7917e-05	0.00137253
2.08	0.00137959	-1.79709e-05	0.00137924
2.09	0.00138631	-1.8025e-05	0.00138595
